Partner,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,City,Gender,Churn Value,CLTV,Referred a Friend,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Device Protection Plan,Premium Tech Support,Streaming Music,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Age,Number of Dependents,Satisfaction Score
Yes,65,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,1292.6,Littlerock,Male,0,6312,Yes,2,65,18.07,0,No,No,No,No,0.0,0,1174.55,2467.15,30,0,4
No,11,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,35.8,363.15,Llano,Female,0,2534,No,0,11,0.0,52,No,No,No,Yes,0.0,0,0.0,363.15,22,0,5
No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,78.85,1600.25,Lone Pine,Male,0,2444,No,0,22,30.35,10,No,No,No,No,0.0,50,667.7,2317.95,56,0,5
No,14,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.4,275.7,Mammoth Lakes,Male,0,5068,No,0,14,36.42,0,No,No,No,No,0.0,0,509.88,785.58,23,0,5
No,41,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.25,3089.1,Olancha,Male,0,3277,No,0,41,1.08,6,No,Yes,No,Yes,0.0,0,44.28,3133.38,45,0,3
Yes,17,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,64.8,1175.6,Palmdale,Male,0,3546,Yes,2,17,45.35,11,No,No,Yes,Yes,0.0,0,770.95,1946.55,32,0,4
No,11,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.45,237.3,Palmdale,Male,0,2642,No,0,11,44.53,0,No,No,No,No,0.0,0,489.83,727.13,63,0,4
No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.35,1444.65,Palmdale,Male,1,5264,No,0,15,48.93,15,No,No,Yes,Yes,0.0,0,733.95,2178.6,49,0,1
No,1,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,19.9,Pearblossom,Female,1,4248,No,0,1,49.51,0,No,No,No,No,0.0,0,49.51,69.41,45,0,2
Yes,5,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,88.9,454.15,Randsburg,Female,1,4356,Yes,1,5,41.57,27,Yes,No,Yes,Yes,0.0,0,207.85,662.0,37,0,1
Yes,33,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,95.8,3036.75,Ridgecrest,Male,1,4161,Yes,1,33,41.8,41,Yes,No,Yes,No,0.0,60,1379.4,4476.15,24,0,2
Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),110.65,8065.65,Rosamond,Female,0,4259,Yes,5,72,41.21,73,Yes,No,Yes,Yes,0.0,0,2967.12,11032.77,24,0,4
Yes,3,No,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,40.3,92.5,Tehachapi,Female,0,5651,Yes,6,3,0.0,53,No,No,Yes,Yes,0.0,0,0.0,92.5,59,3,4
No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,82.0,184.65,Trona,Male,1,3051,No,0,2,41.18,14,No,No,No,Yes,0.0,0,82.36,267.01,42,0,3
Yes,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),107.0,6152.3,Valyermo,Female,0,4620,Yes,7,59,41.15,48,Yes,Yes,Yes,No,0.0,0,2427.85,8580.15,20,0,4
No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.35,89.5,Palmdale,Male,1,3478,No,0,2,25.49,9,No,No,No,Yes,0.0,0,50.98,140.48,63,0,1
Yes,71,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),73.35,5154.5,Ahwahnee,Male,0,5124,Yes,4,71,16.24,59,No,Yes,Yes,Yes,0.0,0,1153.04,6307.54,30,0,5
Yes,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.8,220.45,Auberry,Female,0,2492,Yes,10,5,35.6,19,No,No,No,Yes,0.0,0,178.0,398.45,45,2,3
Yes,27,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),54.75,1510.3,Badger,Male,0,3519,Yes,5,27,36.19,53,No,No,No,Yes,0.0,0,977.13,2487.43,54,6,3
No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.2,52.2,Bass Lake,Female,1,4138,No,0,1,34.04,23,No,Yes,No,Yes,0.0,0,34.04,86.24,41,0,1
No,63,No,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),40.6,2588.95,Big Creek,Male,0,6406,No,0,63,0.0,28,No,Yes,No,Yes,0.0,0,0.0,2588.95,48,0,3
No,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,110.0,4874.8,Biola,Female,1,2403,No,0,46,2.37,20,Yes,No,Yes,Yes,0.0,0,109.02,4983.82,65,0,1
Yes,72,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),55.3,3983.6,Cantua Creek,Male,0,6259,Yes,5,72,24.24,27,No,No,No,Yes,0.0,0,1745.28,5728.88,40,0,4
Yes,34,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),60.85,2003.6,Caruthers,Female,0,3012,Yes,5,34,12.3,26,No,Yes,No,Yes,0.0,0,418.2,2421.8,59,0,4
Yes,24,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,78.4,1832.4,Chowchilla,Female,0,2506,Yes,4,24,31.62,12,No,No,Yes,No,0.0,130,758.88,2721.28,54,0,3
No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.65,4908.25,Clovis,Male,0,4262,No,0,72,3.66,13,Yes,Yes,No,Yes,0.0,0,263.52,5171.77,53,0,5
Yes,60,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),59.85,3590.2,Clovis,Female,0,5790,Yes,1,60,0.0,19,Yes,Yes,Yes,Yes,0.0,0,0.0,3590.2,46,0,5
No,68,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),76.9,5023.0,Coarsegold,Male,0,5355,No,0,68,1.27,13,Yes,No,Yes,Yes,0.0,0,86.36,5109.36,60,0,4
Yes,8,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.85,146.6,Cutler,Female,0,3260,Yes,8,8,17.09,0,No,No,No,No,0.0,0,136.72,283.32,44,0,5
No,34,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),67.65,2339.3,Del Rey,Female,0,4263,No,0,34,20.75,27,Yes,Yes,No,Yes,0.0,0,705.5,3044.8,22,0,3
No,6,No,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),45.0,298.7,Dinuba,Female,0,2270,No,0,6,0.0,52,No,No,Yes,Yes,0.0,0,0.0,298.7,25,0,5
Yes,2,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,64.2,143.65,Dos Palos,Male,0,4369,Yes,2,2,4.41,26,No,Yes,Yes,No,0.0,30,8.82,182.47,38,0,4
No,31,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),81.7,2548.65,Dunlap,Male,0,4850,No,0,31,17.18,76,No,Yes,No,Yes,0.0,0,532.58,3081.23,24,0,5
Yes,20,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.55,507.4,Firebaugh,Female,0,3235,Yes,6,20,36.85,0,No,No,No,No,0.0,0,737.0,1244.4,47,7,4
Yes,1,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.0,20.0,Fish Camp,Female,0,2358,Yes,4,1,6.86,0,No,No,No,No,0.0,0,6.86,26.86,21,3,4
No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,96.75,6125.4,Five Points,Male,1,5016,No,0,62,22.64,9,Yes,No,Yes,Yes,0.0,0,1403.68,7529.08,58,0,2
Yes,70,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),75.65,5411.4,Fowler,Female,0,4181,Yes,4,70,16.87,3,No,No,No,Yes,25.67,0,1180.9,6566.63,72,0,4
No,10,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,1058.25,Friant,Female,1,5184,No,0,10,14.53,30,No,Yes,Yes,No,0.0,110,145.3,1313.55,33,0,1
Yes,39,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.8,903.8,Helm,Male,0,3970,Yes,7,39,29.56,0,No,No,No,No,0.0,0,1152.84,2056.64,39,0,5
Yes,46,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),64.2,3009.5,Hume,Female,0,4699,Yes,1,46,37.02,6,No,Yes,No,Yes,0.0,0,1702.92,4712.42,61,0,4
No,6,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.35,489.45,Kerman,Male,1,4694,No,0,6,11.97,27,No,No,No,Yes,0.0,0,71.82,561.27,61,0,3
Yes,72,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.8,5468.45,Kingsburg,Female,0,5120,Yes,5,72,43.47,9,Yes,No,Yes,No,0.0,90,3129.84,8688.29,45,0,3
No,18,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,1058.1,Lakeshore,Male,0,2110,No,0,18,47.72,28,Yes,Yes,No,Yes,0.0,0,858.96,1917.06,63,0,4
Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.55,7616.0,Los Banos,Male,0,4111,Yes,10,71,31.97,73,Yes,Yes,Yes,Yes,0.0,0,2269.87,9885.87,29,0,3
Yes,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,4113.1,Madera,Male,1,2576,Yes,1,40,22.56,4,No,No,Yes,Yes,0.0,0,902.4,5015.5,54,0,1
No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,Madera,Male,1,3042,No,0,1,49.43,48,No,No,Yes,Yes,0.0,0,49.43,118.98,27,0,2
No,58,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.25,6017.65,Mendota,Male,1,6105,No,0,58,44.5,47,Yes,No,Yes,Yes,0.0,0,2581.0,8598.65,20,0,1
No,70,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.0,7250.15,Miramonte,Male,1,4544,No,0,70,12.19,42,No,Yes,Yes,Yes,0.0,0,853.3,8103.45,25,0,1
Yes,42,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.25,1108.2,North Fork,Female,0,3052,Yes,9,42,33.63,0,No,No,No,No,0.0,0,1412.46,2520.66,55,0,4
Yes,34,No,No,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),30.4,938.65,Oakhurst,Male,0,4697,No,0,34,0.0,42,No,No,No,Yes,0.0,0,0.0,938.65,23,0,4
No,5,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.05,94.15,O Neals,Male,0,2154,No,0,5,30.14,0,No,No,No,No,0.0,0,150.7,244.85,65,0,5
No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.6,2088.05,Orange Cove,Female,0,4874,No,0,25,9.57,59,No,No,No,Yes,0.0,0,239.25,2327.3,23,0,3
No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.2,178.7,Orosi,Female,1,2969,No,0,2,24.05,27,Yes,No,Yes,Yes,0.0,0,48.1,226.8,62,0,3
Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,Parlier,Female,0,5892,Yes,10,55,35.04,57,Yes,Yes,Yes,No,0.0,20,1927.2,7603.95,37,3,3
Yes,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,Fresno,Male,1,4123,Yes,1,21,36.26,59,Yes,Yes,Yes,No,0.0,120,761.46,3198.56,24,0,3
Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),88.0,5986.45,Prather,Male,0,4867,Yes,9,70,9.28,51,No,Yes,No,Yes,0.0,0,649.6,6636.05,30,0,3
Yes,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,6751.35,Raisin City,Female,0,5632,Yes,3,61,27.63,29,Yes,Yes,Yes,Yes,0.0,0,1685.43,8436.78,41,0,5
Yes,43,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.15,3566.6,Raymond,Male,0,3716,Yes,1,43,41.08,18,Yes,Yes,Yes,Yes,0.0,0,1766.44,5333.04,62,0,3
No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.1,4889.3,Reedley,Male,0,5029,No,0,47,16.64,8,Yes,No,Yes,Yes,0.0,0,782.08,5671.38,37,0,4
No,5,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),63.95,318.1,Riverdale,Male,0,3099,No,0,5,13.96,5,Yes,Yes,No,Yes,0.0,0,69.8,387.9,38,0,4
No,62,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.8,1563.95,Sanger,Female,0,6201,No,0,62,8.23,0,No,No,No,No,0.0,0,510.26,2074.21,55,0,3
Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.45,1430.25,San Joaquin,Female,1,3696,Yes,1,16,31.73,25,Yes,No,No,Yes,0.0,0,507.68,1937.93,41,0,3
Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,644.35,Selma,Male,1,3265,Yes,1,7,21.91,11,No,No,No,Yes,0.0,0,153.37,797.72,74,0,3
Yes,14,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.55,372.45,Shaver Lake,Female,0,2080,Yes,1,14,31.7,0,No,No,No,No,0.0,0,443.8,816.25,47,1,5
Yes,60,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,90.95,5453.4,South Dos Palos,Male,1,4111,Yes,1,60,33.25,52,Yes,No,Yes,Yes,0.0,0,1995.0,7448.4,21,0,3
Yes,34,No,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,44.85,1442.6,Sultana,Male,0,5569,Yes,2,34,0.0,76,Yes,Yes,No,Yes,0.0,0,0.0,1442.6,35,3,4
Yes,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,108.55,5610.7,Tollhouse,Female,1,4274,Yes,1,50,29.43,14,No,Yes,Yes,Yes,0.0,0,1471.5,7082.2,58,0,2
Yes,38,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.05,963.95,Tranquillity,Male,0,3772,Yes,9,38,33.1,0,No,No,No,No,0.0,0,1257.8,2221.75,44,1,3
Yes,70,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),74.1,5222.3,Wishon,Female,0,6325,Yes,7,70,19.1,21,Yes,Yes,Yes,Yes,0.0,0,1337.0,6559.3,46,0,3
Yes,37,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.8,3340.55,Traver,Female,0,3746,Yes,3,37,1.08,16,No,No,No,Yes,0.0,0,39.96,3380.51,33,2,4
No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.85,292.8,Squaw Valley,Female,1,5301,No,0,4,36.93,18,No,No,No,Yes,0.0,0,147.72,440.52,65,0,3
Yes,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.25,5774.55,Fresno,Male,0,4353,Yes,4,60,19.68,53,No,No,No,Yes,0.0,0,1180.8,6955.35,70,3,3
Yes,62,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),71.4,4487.3,Fresno,Male,0,5327,No,0,62,14.05,25,Yes,Yes,Yes,Yes,0.0,0,871.1,5358.4,47,0,3
No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.4,44.4,Fresno,Male,1,3522,No,0,1,32.44,12,No,No,No,Yes,0.0,0,32.44,76.84,45,0,1
No,36,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.2,2854.95,Fresno,Male,0,4830,No,0,36,42.51,52,Yes,Yes,Yes,No,0.0,40,1530.36,4425.31,27,0,3
No,44,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,905.55,Fresno,Male,0,2404,No,0,44,1.4,0,No,No,No,No,0.0,0,61.6,967.15,36,0,5
No,55,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.0,5509.3,Fresno,Female,1,5679,No,0,55,37.38,7,Yes,No,Yes,No,0.0,100,2055.9,7665.2,66,0,3
Yes,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),105.0,7589.8,Fresno,Female,0,5678,Yes,7,72,6.58,7,Yes,No,Yes,Yes,0.0,0,473.76,8063.56,44,0,3
Yes,12,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,229.6,Fresno,Female,1,2653,Yes,1,12,37.65,0,No,No,No,No,0.0,0,451.8,681.4,59,0,3
No,13,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.85,394.1,Fresno,Female,0,2444,No,0,13,0.0,7,No,No,No,Yes,0.0,0,0.0,394.1,59,0,3
No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.9,89.9,Fresno,Male,1,5951,No,0,1,32.85,53,No,No,Yes,Yes,0.0,0,32.85,122.75,21,0,1
Yes,15,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.55,295.95,Fresno,Female,0,3009,Yes,7,15,34.63,0,No,No,No,No,0.0,0,519.45,815.4,23,0,5
No,65,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.85,5459.2,Fresno,Female,0,5434,No,0,65,41.74,17,Yes,Yes,Yes,Yes,0.0,0,2713.1,8172.3,57,0,4
Yes,12,No,No,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),33.15,444.75,Fresno,Female,0,3882,Yes,7,12,0.0,27,No,Yes,No,Yes,0.0,0,0.0,444.75,54,0,3
Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),92.0,6782.15,Fresno,Male,0,5883,Yes,8,72,5.32,5,Yes,Yes,Yes,No,0.0,10,383.04,7175.19,55,0,3
Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.8,6510.45,Fresno,Female,0,5762,Yes,3,72,44.92,69,Yes,Yes,Yes,Yes,0.0,0,3234.24,9744.69,23,0,3
Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.8,8476.5,Salinas,Female,0,5841,Yes,9,72,12.29,24,Yes,Yes,Yes,Yes,0.0,0,884.88,9361.38,57,2,3
No,52,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,85.15,4461.85,Salinas,Male,0,4322,No,0,52,32.02,28,No,Yes,Yes,Yes,0.0,0,1665.04,6126.89,63,0,3
No,2,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.85,62.0,Salinas,Male,0,5983,No,0,2,40.25,0,No,No,No,No,0.0,0,80.5,142.5,50,0,3
No,5,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,64.35,352.65,Salinas,Female,0,4771,No,0,5,8.32,22,No,Yes,No,Yes,0.0,0,41.6,394.25,63,0,4
No,68,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.5,1424.9,Salinas,Female,0,4201,No,0,68,48.41,0,No,No,No,No,0.0,0,3291.88,4716.78,32,0,4
No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.15,6413.65,Big Sur,Female,1,5600,No,0,62,32.58,15,Yes,No,Yes,Yes,0.0,0,2019.96,8433.61,41,0,3
No,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),86.05,6309.65,Carmel By The Sea,Male,0,5965,No,0,72,48.36,71,No,Yes,Yes,No,0.0,20,3481.92,9811.57,22,0,4
No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.8,50.8,Carmel,Male,1,3718,No,0,1,1.28,27,No,No,No,Yes,0.0,0,1.28,52.08,58,0,1
Yes,66,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,89.0,5898.6,Carmel Valley,Female,0,4488,Yes,10,66,37.38,8,No,Yes,No,Yes,0.0,0,2467.08,8365.68,59,0,3
Yes,72,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64.8,4719.75,Chualar,Male,0,4036,Yes,9,72,0.0,18,Yes,Yes,Yes,Yes,0.0,0,0.0,4719.75,52,0,3
No,26,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,457.3,Gonzales,Male,0,5823,No,0,26,45.7,0,No,No,No,No,0.0,0,1188.2,1645.5,63,0,3
Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),93.4,5822.3,Greenfield,Male,0,6249,Yes,2,64,30.82,11,Yes,No,Yes,Yes,0.0,0,1972.48,7794.78,53,1,3
Yes,20,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,1463.5,Jolon,Male,1,5849,Yes,1,20,5.37,24,No,No,No,Yes,0.0,0,107.4,1570.9,71,0,1
No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,307.4,King City,Female,1,5861,No,0,3,47.62,29,No,No,Yes,Yes,0.0,0,142.86,450.26,55,0,1
No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.65,2104.55,Lockwood,Male,1,3665,No,0,22,46.28,16,No,No,Yes,No,0.0,40,1018.16,3162.71,52,0,2
Yes,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,80.6,319.15,Marina,Male,1,3080,Yes,1,4,14.3,2,Yes,Yes,No,Yes,0.0,0,57.2,376.35,46,0,3
Yes,62,No,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),39.0,2337.45,Monterey,Male,0,4987,Yes,6,62,0.0,4,No,Yes,No,Yes,0.0,0,0.0,2337.45,61,0,4
No,5,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.5,104.3,Pacific Grove,Female,0,5263,No,0,5,24.61,0,No,No,No,No,0.0,0,123.05,227.35,44,0,3
Yes,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,85.55,5084.65,Pebble Beach,Male,1,6304,No,0,59,6.91,52,No,No,Yes,Yes,0.0,0,407.69,5492.34,24,0,3
No,3,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.4,121.25,San Lucas,Male,0,4315,No,0,3,33.87,0,No,No,No,No,0.0,0,101.61,222.86,44,1,5
Yes,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),98.2,7015.9,Seaside,Female,0,4332,Yes,1,72,25.48,3,Yes,Yes,No,Yes,0.0,0,1834.56,8850.46,32,0,3
Yes,57,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),97.55,5598.0,Soledad,Male,0,5833,Yes,1,57,4.18,73,Yes,No,Yes,Yes,0.0,0,238.26,5836.26,26,3,4
No,66,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.95,1269.1,Spreckels,Male,0,6382,No,0,66,37.94,0,No,No,No,No,0.0,0,2504.04,3773.14,63,1,4
No,60,No,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.8,3027.4,Belmont,Female,1,4941,No,0,60,0.0,5,No,No,Yes,Yes,0.0,0,0.0,3027.4,58,0,2
No,45,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),99.7,4634.35,Brisbane,Male,0,3333,No,0,45,23.54,12,Yes,No,Yes,Yes,0.0,0,1059.3,5693.65,33,2,4
No,3,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.8,113.95,Burlingame,Female,0,2496,No,0,3,0.0,46,No,No,No,Yes,0.0,0,0.0,113.95,25,0,4
No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.1,1582.75,Daly City,Female,1,2122,No,0,15,22.39,7,Yes,Yes,Yes,Yes,0.0,0,335.85,1918.6,54,0,1
